timestamp,latitude,longitude
2018-06-25 00:10:20.669000,34.8801006,-117.0158426
2018-06-25 00:07:39.929000,34.885965,-117.0420214
2018-06-24 22:56:44.241000,35.0582625,-116.4321
2018-06-24 22:25:49.720000,35.2590975,-116.0804632
2018-06-24 20:44:37.933000,35.7473616,-115.3528825
2018-06-24 20:10:53.535000,36.1398858,-115.1750232
2018-06-24 20:01:25.901000,36.1488097,-115.1542346
2018-06-24 19:58:36.965000,36.1548574,-115.1494431
2018-06-24 18:58:29.904000,36.1547617,-115.1490743
2018-06-24 18:51:06.893000,36.1549522,-115.1498553
2018-06-24 18:45:00,36.1513487,-115.1525161
2018-06-24 18:39:17.914000,36.1513124,-115.1527275
2018-06-24 18:21:43.999000,36.1517741,-115.1522471
2018-06-24 18:18:05.416000,36.1519974,-115.1519209
2018-06-24 18:16:24.999000,36.1544624,-115.1499477
2018-06-24 11:41:43.901000,36.1551544,-115.1489516
2018-06-24 11:28:03.944000,36.1543385,-115.1502013
2018-06-24 11:27:02.673000,36.1549644,-115.1490085
2018-06-24 10:03:29.888000,36.155018,-115.1488696
2018-06-24 09:48:04.767000,36.1547645,-115.1490012
2018-06-24 09:26:46.891000,36.1548703,-115.1489558
2018-06-24 09:18:51.289000,36.1549638,-115.1490154
2018-06-24 08:50:02.363000,36.1244605,-115.1694397
2018-06-24 08:30:49.324000,36.1189083,-115.1726769
2018-06-24 08:25:16.447000,36.1186811,-115.1726591
2018-06-24 08:22:46.999000,36.1166766,-115.1726305
2018-06-24 08:16:46,36.1136651,-115.1725359
2018-06-24 08:15:35.553000,36.1142066,-115.1731193
2018-06-24 07:45:14,36.1128572,-115.1726623
2018-06-24 07:42:33.999000,36.1135561,-115.1725251
2018-06-24 07:38:51.336000,36.113332,-115.1725987
2018-06-24 06:09:22.879000,36.1510197,-115.1521832
2018-06-24 06:01:03.842000,36.1548043,-115.1495018
2018-06-24 05:58:23.886000,36.1549747,-115.1491763
2018-06-24 01:47:21.006000,36.1548629,-115.1489779
2018-06-24 01:35:13.999000,36.1548939,-115.1497163
2018-06-24 01:30:11.999000,36.1594031,-115.1481457
2018-06-24 01:28:16.206000,36.1591792,-115.1488582
2018-06-24 01:24:38.838000,36.1592163,-115.1488105
2018-06-24 01:23:13.999000,36.1591952,-115.1488761
2018-06-24 01:20:33.492000,36.1584961,-115.1586562
2018-06-24 01:16:33.537000,36.1570006,-115.1729933
2018-06-24 01:14:33.429000,36.1589464,-115.1725453
2018-06-24 01:10:33.532000,36.1589242,-115.1532573
2018-06-24 01:08:33.398000,36.1589495,-115.1380932
2018-06-24 01:06:33.382000,36.1589402,-115.1255171
2018-06-24 00:46:33.450000,36.0000761,-114.9595419
2018-06-24 00:44:32.377000,35.9858544,-114.9215003
2018-06-24 00:40:32.475000,35.9679755,-114.8678713
2018-06-24 00:38:32.336000,35.969445,-114.8557505
2018-06-24 00:36:32.329000,35.9835399,-114.842663
2018-06-24 00:34:32.286000,35.9989712,-114.8221272
2018-06-24 00:32:32.268000,36.0090219,-114.7954936
2018-06-24 00:30:32.280000,36.0120012,-114.7695257
2018-06-24 00:26:57.175000,36.0156708,-114.7418962
2018-06-24 00:24:56.328000,36.0166542,-114.738872
2018-06-24 00:23:31,36.0137297,-114.7353474
2018-06-24 00:17:51,36.0135468,-114.7352624
2018-06-23 23:53:49.254000,35.826257,-114.5578428
2018-06-23 21:57:51.947000,35.2211042,-112.5129226
2018-06-23 21:45:22.845000,35.0733085,-112.4022306
2018-06-23 21:33:23.006000,34.9002291,-112.4647165
2018-06-23 21:26:00.999000,34.791939,-112.4515863
2018-06-23 21:23:33.799000,34.7679957,-112.4531379
2018-06-23 21:12:10.525000,34.6416123,-112.4317915
2018-06-23 20:57:22.004000,34.6210177,-112.3447451
2018-06-23 20:53:01.485000,34.6083118,-112.3447975
2018-06-23 20:46:55.483000,34.5878047,-112.3401824
2018-06-23 20:22:56.843000,34.5875841,-112.3402396
2018-06-23 20:07:57.708000,34.5863434,-112.3146693
2018-06-23 19:58:24.371000,34.5291199,-112.241723
2018-06-23 19:56:19.259000,34.5018033,-112.2448788
2018-06-23 19:48:02.410000,34.3944999,-112.2228732
2018-06-23 19:38:13.160000,34.3432399,-112.1165793
2018-06-23 19:28:24.103000,34.3423006,-112.1019441
2018-06-23 14:03:07.966000,34.8708915,-111.8328567
2018-06-23 05:10:12.905000,34.8698749,-111.8325091
2018-06-22 23:55:40.428000,34.8696593,-111.8325752
2018-06-22 23:14:47.873000,34.8699503,-111.8325113
2018-06-22 23:14:46.878000,34.8698373,-111.8325894
2018-06-22 21:47:52.865000,34.8644533,-111.800683
2018-06-22 21:39:29.559000,34.8644533,-111.800683
2018-06-22 21:19:58.396000,34.8431756,-111.9097191
2018-06-22 20:42:58,34.9168422,-111.8995989
2018-06-22 20:19:55.998000,34.9165565,-111.9001309
2018-06-22 19:55:13.999000,34.9151098,-111.9027259
2018-06-22 19:31:02.361000,34.9151217,-111.903158
2018-06-22 19:14:44.851000,34.9150638,-111.902389
2018-06-22 18:48:28.676000,34.8698183,-111.8237283
2018-06-22 18:33:03.852000,34.8704052,-111.8326795
2018-06-22 08:11:01.993000,34.8699034,-111.832212
2018-06-22 07:42:26.597000,34.8706935,-111.8326059
2018-06-22 03:12:15.580000,34.8690548,-111.8300655
2018-06-22 02:07:48.888000,34.8697764,-111.8325242
2018-06-22 01:42:57.985000,34.8690105,-111.829852
2018-06-22 01:40:12.756000,34.8711016,-111.825955
2018-06-22 01:36:12.735000,34.8631785,-111.8023925
2018-06-22 01:34:12.719000,34.8630612,-111.7858801
2018-06-22 01:30:12.770000,34.8714239,-111.7594508
2018-06-22 01:28:12.627000,34.8783309,-111.7514374
2018-06-22 01:26:12.614000,34.8883479,-111.7334003
2018-06-22 01:22:12.612000,34.9231437,-111.7353902
2018-06-22 01:20:12.590000,34.9369703,-111.7473799
2018-06-22 01:16:12.563000,34.9701268,-111.7503956
2018-06-22 01:14:12.527000,34.9887776,-111.7442547
2018-06-22 01:12:12.460000,34.9992801,-111.7382438
2018-06-22 01:08:12.498000,35.0263958,-111.7377576
